id,title,description,url,genre,platform,publisher,developer,release_date
272,Allods Online,A fantasy MMORPG that follows more traditional “World of Warcraft-like” MMO traditions.,https://www.freetogame.com/open/allods-online,MMORPG,PC (Windows),My.com,Allods Team,26/04/11
273,Bloodline Champions,Free-to-Play Moba game where players engage in short battles of up to ten players divided into two teams.,https://www.freetogame.com/open/bloodline-champions,MOBA,PC (Windows),Stunlock Studios,Stunlock Studios,13/01/11
274,GetAmped 2,"A free to play fighting MMO, experience frantic battles up to 20 players.",https://www.freetogame.com/open/getamped-2,Fighting,PC (Windows),CyberStep,CyberStep,16/12/10
275,Dragon Saga,A free to play arcade­-style side­-scrolling 3D MMORPG.,https://www.freetogame.com/open/dragon-saga,MMORPG,PC (Windows),Gravity Interactive,Gravity Interactive,28/10/10
276,Vindictus,A free to play action MMO game with beautiful graphics and intense battles.,https://www.freetogame.com/open/vindictus,MMORPG,PC (Windows),Nexon,devCAT,13/10/10
277,Aika Online,A free-to-play MMORPG with large scale PvP battles.,https://www.freetogame.com/open/aika-online,MMORPG,PC (Windows),HanbitSoft,JoyImpact,27/08/10
278,Mortal Online,A unique free to play First Person sandbox MMORPG.,https://www.freetogame.com/open/mortal-online,MMORPG,PC (Windows),Star Vault AB ,Star Vault AB ,09/06/10
280,WolfTeam,A free to play MMOFPS with a twist.,https://www.freetogame.com/open/wolfteam,Shooter,PC (Windows),Aeria Games,Softnyx,09/07/09
281,Grand Fantasia,"A free to play anime inspired 3D MMORPG with customizable characters and 
companions.",https://www.freetogame.com/open/grand-fantasia,MMORPG,PC (Windows),X-Legend Entertainment,X-Legend Entertainment,01/12/09
282,BlackShot: Revolution,Get thrown into the fast-paced action of a virtual war zone and compete against other players.,https://www.freetogame.com/open/blackshot,Shooter,PC (Windows),Papaya Play,Vertigo Games,27/07/18
286,League of Legends,"A free-to-play MOBA game, and one of the most played pc game in the world.",https://www.freetogame.com/open/league-of-legends,MOBA,PC (Windows),Riot Games,Riot Games,27/10/09
287,Twelve Sky 2,There’s a lot of world to explore in this fantasy MMORPG!,https://www.freetogame.com/open/twelve-sky-2,MMORPG,PC (Windows),RedFox Games,SG Data,09/09/09
288,Champions Online,A superhero MMORPG created by the same studio behind City of Heroes.,https://www.freetogame.com/open/champions-online,MMORPG,PC (Windows),Perfect World Entertainment,Cryptic Studios,01/09/09
290,Runes of Magic,A free-to-play fantasy 3D MMORPG set in the fantasy world of Taborea.,https://www.freetogame.com/open/runes-of-magic,MMORPG,PC (Windows),GameForge,Runewalker Entertainment,19/03/09
291,theHunter,An MMO shooter where players can hunt 22 different animals in various locations.,https://www.freetogame.com/open/thehunter,Shooter,PC (Windows),"Expansive Worlds , Avalanche Studios","Expansive Worlds , Avalanche Studios",05/03/09
293,Atlantica Online,A free-to-play 3D tactical massively multiplayer online role-playing game.,https://www.freetogame.com/open/atlantica-online,MMORPG,PC (Windows),VALOFE,NDOORS Corporation,30/10/08
295,Florensia,"A free to play fantasy MMORPG with legendary worlds ashore and at 
sea.",https://www.freetogame.com/open/florensia,MMORPG,PC (Windows),Netts Corporation,Netts Corporation,15/10/08
296,S4 league,A free to play MMO Shooter with fluid gameplay and acrobatic moves!,https://www.freetogame.com/open/s4-league,Shooter,PC (Windows),VALOFE Global,GameOn Studio,22/09/08
297,Wizard101,A free to play MMORPG set in the magical Wizard school.,https://www.freetogame.com/open/wizard101,MMORPG,PC (Windows),KingsIsle Entertainment,KingsIsle Entertainment,02/09/08
298,Perfect World International,"A free-to-play fantasy MMORPG, that focuses heavily on Chinese mythology.",https://www.freetogame.com/open/pwi,MMORPG,PC (Windows),"Beijing Perfect World, Perfect World Entertainment",Beijing Perfect World,02/09/08
299,Combat Arms: Reloaded,A free to play modern first person shooter with lots of maps and weapons!,https://www.freetogame.com/open/combat-arms,Shooter,PC (Windows),"VALOFE, NEXON",Doobic Studios,31/10/18
300,Rohan: Blood Feud,A free-to-play medieval MMORPG highly-focused on PVP.,https://www.freetogame.com/open/rohan-blood-feud,MMORPG,PC (Windows),Playwith Interactive,Playwith Interactive,28/05/08
301,Age of Conan: Unchained,A award ­winning massively multiplayer online game that has received critical acclaim.,https://www.freetogame.com/open/age-of-conan,MMORPG,PC (Windows),Funcom,Funcom,20/05/08
303,Saga,A free-to-play MMORTS that also features city-building and trading card games.,https://www.freetogame.com/open/saga,Strategy,PC (Windows),Silverlode Interactive,"Silverlode Interactive , Wasatch Games",26/02/08
304,Cabal Online,A free to play fast-paced skill-based MMORPG in a stunning world!,https://www.freetogame.com/open/cabal-online,MMORPG,PC (Windows),ESTsoft,ESTsoft,17/02/16
305,Fiesta Online,A free to play anime MMORPG with a friendly community.,https://www.freetogame.com/open/fiesta-online,MMORPG,PC (Windows),gamigo AG,Onson Soft,01/02/08
306,4Story,"A enjoyable MMORPG where you can customize your character, join guilds and battle other factions.",https://www.freetogame.com/open/4story,MMORPG,PC (Windows),Zemi Interactive,Zemi Interactive,20/10/08
307,Shaiya,A free to play 3D MMORPG similar to World of Warcraft and Lineage 2.,https://www.freetogame.com/open/shaiya,MMORPG,PC (Windows),Aeria Games,Aeria Games,24/12/07
308,Angels Online,A cute anime MMORPG with a good selection of classes.,https://www.freetogame.com/open/angels-online,MMORPG,PC (Windows),I Got Games,UserJoy Technology,01/12/07
309,Seal Online,A free MMORP that has been out for a long period of time with solid history under its belt.,https://www.freetogame.com/open/seal-online,MMORPG,PC (Windows),YNK Interactive,YNK Interactive,19/11/07
